Date,Year,MonthNumber,MonthName,Quarter,YearMonth
7/29/2023 0:00,2023,7,July,Q3,2023-07
7/30/2023 0:00,2023,7,July,Q3,2023-07
7/31/2023 0:00,2023,7,July,Q3,2023-07
7/1/2024 0:00,2024,7,July,Q3,2024-07
7/2/2024 0:00,2024,7,July,Q3,2024-07
7/3/2024 0:00,2024,7,July,Q3,2024-07
7/4/2024 0:00,2024,7,July,Q3,2024-07
7/5/2024 0:00,2024,7,July,Q3,2024-07
7/6/2024 0:00,2024,7,July,Q3,2024-07
7/7/2024 0:00,2024,7,July,Q3,2024-07
7/8/2024 0:00,2024,7,July,Q3,2024-07
7/9/2024 0:00,2024,7,July,Q3,2024-07
7/10/2024 0:00,2024,7,July,Q3,2024-07
7/11/2024 0:00,2024,7,July,Q3,2024-07
7/12/2024 0:00,2024,7,July,Q3,2024-07
7/13/2024 0:00,2024,7,July,Q3,2024-07
7/14/2024 0:00,2024,7,July,Q3,2024-07
7/15/2024 0:00,2024,7,July,Q3,2024-07
7/16/2024 0:00,2024,7,July,Q3,2024-07
7/17/2024 0:00,2024,7,July,Q3,2024-07
7/18/2024 0:00,2024,7,July,Q3,2024-07
7/19/2024 0:00,2024,7,July,Q3,2024-07
7/20/2024 0:00,2024,7,July,Q3,2024-07
7/21/2024 0:00,2024,7,July,Q3,2024-07
7/22/2024 0:00,2024,7,July,Q3,2024-07
7/23/2024 0:00,2024,7,July,Q3,2024-07
7/24/2024 0:00,2024,7,July,Q3,2024-07
7/25/2024 0:00,2024,7,July,Q3,2024-07
7/26/2024 0:00,2024,7,July,Q3,2024-07
7/27/2024 0:00,2024,7,July,Q3,2024-07
7/28/2024 0:00,2024,7,July,Q3,2024-07
7/29/2024 0:00,2024,7,July,Q3,2024-07
7/30/2024 0:00,2024,7,July,Q3,2024-07
7/31/2024 0:00,2024,7,July,Q3,2024-07
7/1/2025 0:00,2025,7,July,Q3,2025-07
7/2/2025 0:00,2025,7,July,Q3,2025-07
7/3/2025 0:00,2025,7,July,Q3,2025-07
7/4/2025 0:00,2025,7,July,Q3,2025-07
7/5/2025 0:00,2025,7,July,Q3,2025-07
7/6/2025 0:00,2025,7,July,Q3,2025-07
7/7/2025 0:00,2025,7,July,Q3,2025-07
7/8/2025 0:00,2025,7,July,Q3,2025-07
7/9/2025 0:00,2025,7,July,Q3,2025-07
7/10/2025 0:00,2025,7,July,Q3,2025-07
7/11/2025 0:00,2025,7,July,Q3,2025-07
7/12/2025 0:00,2025,7,July,Q3,2025-07
7/13/2025 0:00,2025,7,July,Q3,2025-07
7/14/2025 0:00,2025,7,July,Q3,2025-07
7/15/2025 0:00,2025,7,July,Q3,2025-07
7/16/2025 0:00,2025,7,July,Q3,2025-07
7/17/2025 0:00,2025,7,July,Q3,2025-07
7/18/2025 0:00,2025,7,July,Q3,2025-07
7/19/2025 0:00,2025,7,July,Q3,2025-07
7/20/2025 0:00,2025,7,July,Q3,2025-07
7/21/2025 0:00,2025,7,July,Q3,2025-07
7/22/2025 0:00,2025,7,July,Q3,2025-07
7/23/2025 0:00,2025,7,July,Q3,2025-07
7/24/2025 0:00,2025,7,July,Q3,2025-07
7/25/2025 0:00,2025,7,July,Q3,2025-07
7/26/2025 0:00,2025,7,July,Q3,2025-07
7/27/2025 0:00,2025,7,July,Q3,2025-07
7/28/2025 0:00,2025,7,July,Q3,2025-07
7/29/2025 0:00,2025,7,July,Q3,2025-07
7/30/2025 0:00,2025,7,July,Q3,2025-07
7/31/2025 0:00,2025,7,July,Q3,2025-07
8/1/2022 0:00,2022,8,August,Q3,2022-08
8/2/2022 0:00,2022,8,August,Q3,2022-08
8/3/2022 0:00,2022,8,August,Q3,2022-08
8/4/2022 0:00,2022,8,August,Q3,2022-08
8/5/2022 0:00,2022,8,August,Q3,2022-08
8/6/2022 0:00,2022,8,August,Q3,2022-08
8/7/2022 0:00,2022,8,August,Q3,2022-08
8/8/2022 0:00,2022,8,August,Q3,2022-08
8/9/2022 0:00,2022,8,August,Q3,2022-08
8/10/2022 0:00,2022,8,August,Q3,2022-08
8/11/2022 0:00,2022,8,August,Q3,2022-08
8/12/2022 0:00,2022,8,August,Q3,2022-08
8/13/2022 0:00,2022,8,August,Q3,2022-08
8/14/2022 0:00,2022,8,August,Q3,2022-08
8/15/2022 0:00,2022,8,August,Q3,2022-08
8/16/2022 0:00,2022,8,August,Q3,2022-08
8/17/2022 0:00,2022,8,August,Q3,2022-08
8/18/2022 0:00,2022,8,August,Q3,2022-08
8/19/2022 0:00,2022,8,August,Q3,2022-08
8/20/2022 0:00,2022,8,August,Q3,2022-08
8/21/2022 0:00,2022,8,August,Q3,2022-08
8/22/2022 0:00,2022,8,August,Q3,2022-08
8/23/2022 0:00,2022,8,August,Q3,2022-08
8/24/2022 0:00,2022,8,August,Q3,2022-08
8/25/2022 0:00,2022,8,August,Q3,2022-08
8/26/2022 0:00,2022,8,August,Q3,2022-08
8/27/2022 0:00,2022,8,August,Q3,2022-08
8/28/2022 0:00,2022,8,August,Q3,2022-08
8/29/2022 0:00,2022,8,August,Q3,2022-08
8/30/2022 0:00,2022,8,August,Q3,2022-08
8/31/2022 0:00,2022,8,August,Q3,2022-08
8/1/2023 0:00,2023,8,August,Q3,2023-08
8/2/2023 0:00,2023,8,August,Q3,2023-08
8/3/2023 0:00,2023,8,August,Q3,2023-08
8/4/2023 0:00,2023,8,August,Q3,2023-08
8/5/2023 0:00,2023,8,August,Q3,2023-08
8/6/2023 0:00,2023,8,August,Q3,2023-08
8/7/2023 0:00,2023,8,August,Q3,2023-08
8/8/2023 0:00,2023,8,August,Q3,2023-08
8/9/2023 0:00,2023,8,August,Q3,2023-08
8/10/2023 0:00,2023,8,August,Q3,2023-08
8/11/2023 0:00,2023,8,August,Q3,2023-08
8/12/2023 0:00,2023,8,August,Q3,2023-08
8/13/2023 0:00,2023,8,August,Q3,2023-08
8/14/2023 0:00,2023,8,August,Q3,2023-08
8/15/2023 0:00,2023,8,August,Q3,2023-08
8/16/2023 0:00,2023,8,August,Q3,2023-08
8/17/2023 0:00,2023,8,August,Q3,2023-08
8/18/2023 0:00,2023,8,August,Q3,2023-08
8/19/2023 0:00,2023,8,August,Q3,2023-08
8/20/2023 0:00,2023,8,August,Q3,2023-08
8/21/2023 0:00,2023,8,August,Q3,2023-08
8/22/2023 0:00,2023,8,August,Q3,2023-08
8/23/2023 0:00,2023,8,August,Q3,2023-08
8/24/2023 0:00,2023,8,August,Q3,2023-08
8/25/2023 0:00,2023,8,August,Q3,2023-08
8/26/2023 0:00,2023,8,August,Q3,2023-08
8/27/2023 0:00,2023,8,August,Q3,2023-08
8/28/2023 0:00,2023,8,August,Q3,2023-08
8/29/2023 0:00,2023,8,August,Q3,2023-08
8/30/2023 0:00,2023,8,August,Q3,2023-08
8/31/2023 0:00,2023,8,August,Q3,2023-08
8/1/2024 0:00,2024,8,August,Q3,2024-08
8/2/2024 0:00,2024,8,August,Q3,2024-08
8/3/2024 0:00,2024,8,August,Q3,2024-08
8/4/2024 0:00,2024,8,August,Q3,2024-08
8/5/2024 0:00,2024,8,August,Q3,2024-08
8/6/2024 0:00,2024,8,August,Q3,2024-08
8/7/2024 0:00,2024,8,August,Q3,2024-08
8/8/2024 0:00,2024,8,August,Q3,2024-08
8/9/2024 0:00,2024,8,August,Q3,2024-08
8/10/2024 0:00,2024,8,August,Q3,2024-08
8/11/2024 0:00,2024,8,August,Q3,2024-08
8/12/2024 0:00,2024,8,August,Q3,2024-08
8/13/2024 0:00,2024,8,August,Q3,2024-08
8/14/2024 0:00,2024,8,August,Q3,2024-08
8/15/2024 0:00,2024,8,August,Q3,2024-08
8/16/2024 0:00,2024,8,August,Q3,2024-08
8/17/2024 0:00,2024,8,August,Q3,2024-08
8/18/2024 0:00,2024,8,August,Q3,2024-08
8/19/2024 0:00,2024,8,August,Q3,2024-08
8/20/2024 0:00,2024,8,August,Q3,2024-08
8/21/2024 0:00,2024,8,August,Q3,2024-08
8/22/2024 0:00,2024,8,August,Q3,2024-08
8/23/2024 0:00,2024,8,August,Q3,2024-08
8/24/2024 0:00,2024,8,August,Q3,2024-08
8/25/2024 0:00,2024,8,August,Q3,2024-08
8/26/2024 0:00,2024,8,August,Q3,2024-08
8/27/2024 0:00,2024,8,August,Q3,2024-08
8/28/2024 0:00,2024,8,August,Q3,2024-08
8/29/2024 0:00,2024,8,August,Q3,2024-08
8/30/2024 0:00,2024,8,August,Q3,2024-08
8/31/2024 0:00,2024,8,August,Q3,2024-08
8/1/2025 0:00,2025,8,August,Q3,2025-08
8/2/2025 0:00,2025,8,August,Q3,2025-08
8/3/2025 0:00,2025,8,August,Q3,2025-08
8/4/2025 0:00,2025,8,August,Q3,2025-08
8/5/2025 0:00,2025,8,August,Q3,2025-08
8/6/2025 0:00,2025,8,August,Q3,2025-08
8/7/2025 0:00,2025,8,August,Q3,2025-08
8/8/2025 0:00,2025,8,August,Q3,2025-08
8/9/2025 0:00,2025,8,August,Q3,2025-08
8/10/2025 0:00,2025,8,August,Q3,2025-08
8/11/2025 0:00,2025,8,August,Q3,2025-08
8/12/2025 0:00,2025,8,August,Q3,2025-08
8/13/2025 0:00,2025,8,August,Q3,2025-08
8/14/2025 0:00,2025,8,August,Q3,2025-08
8/15/2025 0:00,2025,8,August,Q3,2025-08
8/16/2025 0:00,2025,8,August,Q3,2025-08
8/17/2025 0:00,2025,8,August,Q3,2025-08
8/18/2025 0:00,2025,8,August,Q3,2025-08
8/19/2025 0:00,2025,8,August,Q3,2025-08
8/20/2025 0:00,2025,8,August,Q3,2025-08
8/21/2025 0:00,2025,8,August,Q3,2025-08
8/22/2025 0:00,2025,8,August,Q3,2025-08
8/23/2025 0:00,2025,8,August,Q3,2025-08
8/24/2025 0:00,2025,8,August,Q3,2025-08
8/25/2025 0:00,2025,8,August,Q3,2025-08
8/26/2025 0:00,2025,8,August,Q3,2025-08
8/27/2025 0:00,2025,8,August,Q3,2025-08
8/28/2025 0:00,2025,8,August,Q3,2025-08
8/29/2025 0:00,2025,8,August,Q3,2025-08
8/30/2025 0:00,2025,8,August,Q3,2025-08
8/31/2025 0:00,2025,8,August,Q3,2025-08
9/1/2022 0:00,2022,9,September,Q3,2022-09
9/2/2022 0:00,2022,9,September,Q3,2022-09
9/3/2022 0:00,2022,9,September,Q3,2022-09
9/4/2022 0:00,2022,9,September,Q3,2022-09
9/5/2022 0:00,2022,9,September,Q3,2022-09
9/6/2022 0:00,2022,9,September,Q3,2022-09
9/7/2022 0:00,2022,9,September,Q3,2022-09
9/8/2022 0:00,2022,9,September,Q3,2022-09
9/9/2022 0:00,2022,9,September,Q3,2022-09
9/10/2022 0:00,2022,9,September,Q3,2022-09
9/11/2022 0:00,2022,9,September,Q3,2022-09
9/12/2022 0:00,2022,9,September,Q3,2022-09
9/13/2022 0:00,2022,9,September,Q3,2022-09
9/14/2022 0:00,2022,9,September,Q3,2022-09
9/15/2022 0:00,2022,9,September,Q3,2022-09
9/16/2022 0:00,2022,9,September,Q3,2022-09
9/17/2022 0:00,2022,9,September,Q3,2022-09
9/18/2022 0:00,2022,9,September,Q3,2022-09
9/19/2022 0:00,2022,9,September,Q3,2022-09
9/20/2022 0:00,2022,9,September,Q3,2022-09
9/21/2022 0:00,2022,9,September,Q3,2022-09
9/22/2022 0:00,2022,9,September,Q3,2022-09
9/23/2022 0:00,2022,9,September,Q3,2022-09
9/24/2022 0:00,2022,9,September,Q3,2022-09
9/25/2022 0:00,2022,9,September,Q3,2022-09
9/26/2022 0:00,2022,9,September,Q3,2022-09
9/27/2022 0:00,2022,9,September,Q3,2022-09
9/28/2022 0:00,2022,9,September,Q3,2022-09
9/29/2022 0:00,2022,9,September,Q3,2022-09
9/30/2022 0:00,2022,9,September,Q3,2022-09
9/1/2023 0:00,2023,9,September,Q3,2023-09
9/2/2023 0:00,2023,9,September,Q3,2023-09
9/3/2023 0:00,2023,9,September,Q3,2023-09
9/4/2023 0:00,2023,9,September,Q3,2023-09
9/5/2023 0:00,2023,9,September,Q3,2023-09
9/6/2023 0:00,2023,9,September,Q3,2023-09
9/7/2023 0:00,2023,9,September,Q3,2023-09
9/8/2023 0:00,2023,9,September,Q3,2023-09
9/9/2023 0:00,2023,9,September,Q3,2023-09
9/10/2023 0:00,2023,9,September,Q3,2023-09
9/11/2023 0:00,2023,9,September,Q3,2023-09
9/12/2023 0:00,2023,9,September,Q3,2023-09
9/13/2023 0:00,2023,9,September,Q3,2023-09
9/14/2023 0:00,2023,9,September,Q3,2023-09
9/15/2023 0:00,2023,9,September,Q3,2023-09
9/16/2023 0:00,2023,9,September,Q3,2023-09
9/17/2023 0:00,2023,9,September,Q3,2023-09
9/18/2023 0:00,2023,9,September,Q3,2023-09
9/19/2023 0:00,2023,9,September,Q3,2023-09
9/20/2023 0:00,2023,9,September,Q3,2023-09
9/21/2023 0:00,2023,9,September,Q3,2023-09
9/22/2023 0:00,2023,9,September,Q3,2023-09
9/23/2023 0:00,2023,9,September,Q3,2023-09
9/24/2023 0:00,2023,9,September,Q3,2023-09
9/25/2023 0:00,2023,9,September,Q3,2023-09
9/26/2023 0:00,2023,9,September,Q3,2023-09
9/27/2023 0:00,2023,9,September,Q3,2023-09
9/28/2023 0:00,2023,9,September,Q3,2023-09
9/29/2023 0:00,2023,9,September,Q3,2023-09
9/30/2023 0:00,2023,9,September,Q3,2023-09
9/1/2024 0:00,2024,9,September,Q3,2024-09
9/2/2024 0:00,2024,9,September,Q3,2024-09
9/3/2024 0:00,2024,9,September,Q3,2024-09
9/4/2024 0:00,2024,9,September,Q3,2024-09
9/5/2024 0:00,2024,9,September,Q3,2024-09
9/6/2024 0:00,2024,9,September,Q3,2024-09
9/7/2024 0:00,2024,9,September,Q3,2024-09
9/8/2024 0:00,2024,9,September,Q3,2024-09
9/9/2024 0:00,2024,9,September,Q3,2024-09
9/10/2024 0:00,2024,9,September,Q3,2024-09
9/11/2024 0:00,2024,9,September,Q3,2024-09
9/12/2024 0:00,2024,9,September,Q3,2024-09
9/13/2024 0:00,2024,9,September,Q3,2024-09
9/14/2024 0:00,2024,9,September,Q3,2024-09
9/15/2024 0:00,2024,9,September,Q3,2024-09
9/16/2024 0:00,2024,9,September,Q3,2024-09
9/17/2024 0:00,2024,9,September,Q3,2024-09
9/18/2024 0:00,2024,9,September,Q3,2024-09
9/19/2024 0:00,2024,9,September,Q3,2024-09
9/20/2024 0:00,2024,9,September,Q3,2024-09
9/21/2024 0:00,2024,9,September,Q3,2024-09
9/22/2024 0:00,2024,9,September,Q3,2024-09
9/23/2024 0:00,2024,9,September,Q3,2024-09
9/24/2024 0:00,2024,9,September,Q3,2024-09
9/25/2024 0:00,2024,9,September,Q3,2024-09
9/26/2024 0:00,2024,9,September,Q3,2024-09
9/27/2024 0:00,2024,9,September,Q3,2024-09
9/28/2024 0:00,2024,9,September,Q3,2024-09
9/29/2024 0:00,2024,9,September,Q3,2024-09
9/30/2024 0:00,2024,9,September,Q3,2024-09
9/1/2025 0:00,2025,9,September,Q3,2025-09
9/2/2025 0:00,2025,9,September,Q3,2025-09
9/3/2025 0:00,2025,9,September,Q3,2025-09
9/4/2025 0:00,2025,9,September,Q3,2025-09
9/5/2025 0:00,2025,9,September,Q3,2025-09
9/6/2025 0:00,2025,9,September,Q3,2025-09
9/7/2025 0:00,2025,9,September,Q3,2025-09
9/8/2025 0:00,2025,9,September,Q3,2025-09
9/9/2025 0:00,2025,9,September,Q3,2025-09
9/10/2025 0:00,2025,9,September,Q3,2025-09
9/11/2025 0:00,2025,9,September,Q3,2025-09
9/12/2025 0:00,2025,9,September,Q3,2025-09
9/13/2025 0:00,2025,9,September,Q3,2025-09
9/14/2025 0:00,2025,9,September,Q3,2025-09
9/15/2025 0:00,2025,9,September,Q3,2025-09
9/16/2025 0:00,2025,9,September,Q3,2025-09
9/17/2025 0:00,2025,9,September,Q3,2025-09
9/18/2025 0:00,2025,9,September,Q3,2025-09
9/19/2025 0:00,2025,9,September,Q3,2025-09
9/20/2025 0:00,2025,9,September,Q3,2025-09
9/21/2025 0:00,2025,9,September,Q3,2025-09
9/22/2025 0:00,2025,9,September,Q3,2025-09
9/23/2025 0:00,2025,9,September,Q3,2025-09
9/24/2025 0:00,2025,9,September,Q3,2025-09
9/25/2025 0:00,2025,9,September,Q3,2025-09
9/26/2025 0:00,2025,9,September,Q3,2025-09
9/27/2025 0:00,2025,9,September,Q3,2025-09
9/28/2025 0:00,2025,9,September,Q3,2025-09
9/29/2025 0:00,2025,9,September,Q3,2025-09
9/30/2025 0:00,2025,9,September,Q3,2025-09
11/1/2022 0:00,2022,11,November,Q4,2022-11
11/2/2022 0:00,2022,11,November,Q4,2022-11
11/3/2022 0:00,2022,11,November,Q4,2022-11
11/4/2022 0:00,2022,11,November,Q4,2022-11
11/5/2022 0:00,2022,11,November,Q4,2022-11
11/6/2022 0:00,2022,11,November,Q4,2022-11
11/7/2022 0:00,2022,11,November,Q4,2022-11
11/8/2022 0:00,2022,11,November,Q4,2022-11
11/9/2022 0:00,2022,11,November,Q4,2022-11
11/10/2022 0:00,2022,11,November,Q4,2022-11
11/11/2022 0:00,2022,11,November,Q4,2022-11
11/12/2022 0:00,2022,11,November,Q4,2022-11
11/13/2022 0:00,2022,11,November,Q4,2022-11
11/14/2022 0:00,2022,11,November,Q4,2022-11
11/15/2022 0:00,2022,11,November,Q4,2022-11
11/16/2022 0:00,2022,11,November,Q4,2022-11
11/17/2022 0:00,2022,11,November,Q4,2022-11
11/18/2022 0:00,2022,11,November,Q4,2022-11
11/19/2022 0:00,2022,11,November,Q4,2022-11
11/20/2022 0:00,2022,11,November,Q4,2022-11
11/21/2022 0:00,2022,11,November,Q4,2022-11
11/22/2022 0:00,2022,11,November,Q4,2022-11
11/23/2022 0:00,2022,11,November,Q4,2022-11
11/24/2022 0:00,2022,11,November,Q4,2022-11
11/25/2022 0:00,2022,11,November,Q4,2022-11
11/26/2022 0:00,2022,11,November,Q4,2022-11
11/27/2022 0:00,2022,11,November,Q4,2022-11
11/28/2022 0:00,2022,11,November,Q4,2022-11
11/29/2022 0:00,2022,11,November,Q4,2022-11
11/30/2022 0:00,2022,11,November,Q4,2022-11
11/1/2023 0:00,2023,11,November,Q4,2023-11
11/2/2023 0:00,2023,11,November,Q4,2023-11
11/3/2023 0:00,2023,11,November,Q4,2023-11
11/4/2023 0:00,2023,11,November,Q4,2023-11
11/5/2023 0:00,2023,11,November,Q4,2023-11
11/6/2023 0:00,2023,11,November,Q4,2023-11
11/7/2023 0:00,2023,11,November,Q4,2023-11
11/8/2023 0:00,2023,11,November,Q4,2023-11
11/9/2023 0:00,2023,11,November,Q4,2023-11
11/10/2023 0:00,2023,11,November,Q4,2023-11
11/11/2023 0:00,2023,11,November,Q4,2023-11
11/12/2023 0:00,2023,11,November,Q4,2023-11
11/13/2023 0:00,2023,11,November,Q4,2023-11
11/14/2023 0:00,2023,11,November,Q4,2023-11
11/15/2023 0:00,2023,11,November,Q4,2023-11
11/16/2023 0:00,2023,11,November,Q4,2023-11
11/17/2023 0:00,2023,11,November,Q4,2023-11
11/18/2023 0:00,2023,11,November,Q4,2023-11
11/19/2023 0:00,2023,11,November,Q4,2023-11
11/20/2023 0:00,2023,11,November,Q4,2023-11
11/21/2023 0:00,2023,11,November,Q4,2023-11
11/22/2023 0:00,2023,11,November,Q4,2023-11
11/23/2023 0:00,2023,11,November,Q4,2023-11
11/24/2023 0:00,2023,11,November,Q4,2023-11
11/25/2023 0:00,2023,11,November,Q4,2023-11
11/26/2023 0:00,2023,11,November,Q4,2023-11
11/27/2023 0:00,2023,11,November,Q4,2023-11
11/28/2023 0:00,2023,11,November,Q4,2023-11
11/29/2023 0:00,2023,11,November,Q4,2023-11
11/30/2023 0:00,2023,11,November,Q4,2023-11
11/1/2024 0:00,2024,11,November,Q4,2024-11
11/2/2024 0:00,2024,11,November,Q4,2024-11
11/3/2024 0:00,2024,11,November,Q4,2024-11
11/4/2024 0:00,2024,11,November,Q4,2024-11
11/5/2024 0:00,2024,11,November,Q4,2024-11
11/6/2024 0:00,2024,11,November,Q4,2024-11
11/7/2024 0:00,2024,11,November,Q4,2024-11
11/8/2024 0:00,2024,11,November,Q4,2024-11
11/9/2024 0:00,2024,11,November,Q4,2024-11
11/10/2024 0:00,2024,11,November,Q4,2024-11
11/11/2024 0:00,2024,11,November,Q4,2024-11
11/12/2024 0:00,2024,11,November,Q4,2024-11
11/13/2024 0:00,2024,11,November,Q4,2024-11
11/14/2024 0:00,2024,11,November,Q4,2024-11
11/15/2024 0:00,2024,11,November,Q4,2024-11
11/16/2024 0:00,2024,11,November,Q4,2024-11
11/17/2024 0:00,2024,11,November,Q4,2024-11
11/18/2024 0:00,2024,11,November,Q4,2024-11
11/19/2024 0:00,2024,11,November,Q4,2024-11
11/20/2024 0:00,2024,11,November,Q4,2024-11
11/21/2024 0:00,2024,11,November,Q4,2024-11
11/22/2024 0:00,2024,11,November,Q4,2024-11
11/23/2024 0:00,2024,11,November,Q4,2024-11
11/24/2024 0:00,2024,11,November,Q4,2024-11
11/25/2024 0:00,2024,11,November,Q4,2024-11
11/26/2024 0:00,2024,11,November,Q4,2024-11
11/27/2024 0:00,2024,11,November,Q4,2024-11
11/28/2024 0:00,2024,11,November,Q4,2024-11
11/29/2024 0:00,2024,11,November,Q4,2024-11
11/30/2024 0:00,2024,11,November,Q4,2024-11
11/1/2025 0:00,2025,11,November,Q4,2025-11
11/2/2025 0:00,2025,11,November,Q4,2025-11
11/3/2025 0:00,2025,11,November,Q4,2025-11
11/4/2025 0:00,2025,11,November,Q4,2025-11
11/5/2025 0:00,2025,11,November,Q4,2025-11
11/6/2025 0:00,2025,11,November,Q4,2025-11
11/7/2025 0:00,2025,11,November,Q4,2025-11
11/8/2025 0:00,2025,11,November,Q4,2025-11
11/9/2025 0:00,2025,11,November,Q4,2025-11
11/10/2025 0:00,2025,11,November,Q4,2025-11
11/11/2025 0:00,2025,11,November,Q4,2025-11
11/12/2025 0:00,2025,11,November,Q4,2025-11
11/13/2025 0:00,2025,11,November,Q4,2025-11
11/14/2025 0:00,2025,11,November,Q4,2025-11
11/15/2025 0:00,2025,11,November,Q4,2025-11
11/16/2025 0:00,2025,11,November,Q4,2025-11
11/17/2025 0:00,2025,11,November,Q4,2025-11
11/18/2025 0:00,2025,11,November,Q4,2025-11
11/19/2025 0:00,2025,11,November,Q4,2025-11
11/20/2025 0:00,2025,11,November,Q4,2025-11
11/21/2025 0:00,2025,11,November,Q4,2025-11
11/22/2025 0:00,2025,11,November,Q4,2025-11
11/23/2025 0:00,2025,11,November,Q4,2025-11
11/24/2025 0:00,2025,11,November,Q4,2025-11
11/25/2025 0:00,2025,11,November,Q4,2025-11
11/26/2025 0:00,2025,11,November,Q4,2025-11
11/27/2025 0:00,2025,11,November,Q4,2025-11
11/28/2025 0:00,2025,11,November,Q4,2025-11
11/29/2025 0:00,2025,11,November,Q4,2025-11
11/30/2025 0:00,2025,11,November,Q4,2025-11
12/1/2022 0:00,2022,12,December,Q4,2022-12
12/2/2022 0:00,2022,12,December,Q4,2022-12
12/3/2022 0:00,2022,12,December,Q4,2022-12
12/4/2022 0:00,2022,12,December,Q4,2022-12
12/5/2022 0:00,2022,12,December,Q4,2022-12
12/6/2022 0:00,2022,12,December,Q4,2022-12
12/7/2022 0:00,2022,12,December,Q4,2022-12
12/8/2022 0:00,2022,12,December,Q4,2022-12
12/9/2022 0:00,2022,12,December,Q4,2022-12
12/10/2022 0:00,2022,12,December,Q4,2022-12
12/11/2022 0:00,2022,12,December,Q4,2022-12
12/12/2022 0:00,2022,12,December,Q4,2022-12
12/13/2022 0:00,2022,12,December,Q4,2022-12
12/14/2022 0:00,2022,12,December,Q4,2022-12
12/15/2022 0:00,2022,12,December,Q4,2022-12
12/16/2022 0:00,2022,12,December,Q4,2022-12
12/17/2022 0:00,2022,12,December,Q4,2022-12
12/18/2022 0:00,2022,12,December,Q4,2022-12
12/19/2022 0:00,2022,12,December,Q4,2022-12
12/20/2022 0:00,2022,12,December,Q4,2022-12
12/21/2022 0:00,2022,12,December,Q4,2022-12
12/22/2022 0:00,2022,12,December,Q4,2022-12
12/23/2022 0:00,2022,12,December,Q4,2022-12
12/24/2022 0:00,2022,12,December,Q4,2022-12
12/25/2022 0:00,2022,12,December,Q4,2022-12
12/26/2022 0:00,2022,12,December,Q4,2022-12
12/27/2022 0:00,2022,12,December,Q4,2022-12
12/28/2022 0:00,2022,12,December,Q4,2022-12
